"TNOA";"ET Palpalá";"Existe un elevado número de estaciones transformadoras con reducida capacidad de reserva. Esta situación compromete la realización de mantenimientos programados"
"TNOA";"ET Avellaneda";"Existe un elevado número de estaciones transformadoras con reducida capacidad de reserva. Esta situación compromete la realización de mantenimientos programados"
"TNOA";"ET Cevil Pozo";"Existe un elevado número de estaciones transformadoras con reducida capacidad de reserva. Esta situación compromete la realización de mantenimientos programados"
"TNOA";"ET Salta Sur";"Existe un elevado número de estaciones transformadoras con reducida capacidad de reserva. Esta situación compromete la realización de mantenimientos programados"
"TNOA";"ET Jujuy Sur";"Existe un elevado número de estaciones transformadoras con reducida capacidad de reserva. Esta situación compromete la realización de mantenimientos programados"
"TNOA";"ET Libertador";"Existe un elevado número de estaciones transformadoras con reducida capacidad de reserva. Esta situación compromete la realización de mantenimientos programados"
"TNEA";"ET Gran Formosa - Et formosa II";"segunda línea conformando una doble terna entra las EETT Gran Formosa y
Formosa II, tendrá la misma capacidad que la línea existente"
"TNEA";"LAT: ET Formosa I – ET Formosa II";"Elevado nivel de carga en las líneas que
abastecen el área."
"TNEA";"Doble Terna: ET Formosa III – Mansilla/Formosa I";"Esta doble terna en 132 kV alimentará a la nueva ET Formosa III"
"TNEA";"LAT: ET Gran Formosa – ET Clorinda:";"Completa una doble terna con la línea actual que une ambas EE.TT."
"TNEA";"LAT: ET Gran Formosa – ET Pirané.";"La actual LAT que une la ET Gran Formosa con la ET Pirané."
"TNEA";"Doble Terna: ET Resistencia – ET Fontana";"Doble terna
que permitirá abastecer en 132kv desde Resistencia.
"
"TNEA";"LAT: ET Fontana – ET Vilelas:";"Línea en servicio."
"TNEA";"LAT: ET Vilelas – CD6/Barranqueras";"doble vínculo de la ET Vilelas"
"TNEA";"Doble Terna: ET Chaco – Saenz Peña/Villa Angela";"longitud de la línea es de solo 300 mts hasta alcanzar la línea existente entre Seanz Peña y Villa
Ángela"
"TNEA";"LAT: ET San Martín – ET Pcia. Roca";"Línea que alimentará la nueva ET Presidencia Roca."
"TNEA";"LAT: Saenz Peña – Castelli (Tramo Tres Isletas – Castelli)";"
"TNEA";"LAT: ET Castelli – ET Ibarreta";"en conjunto con la Línea Castelli – Saenz Peña, permite cerrar el anillo, y genera una
nueva vía de abastecimiento."
"TNEA";"LAT: ET San Bernardo – Villa Ángela/Saenz Peña";"Línea de 132 kV desde la futura nueva ET San Bernardo hasta la actual línea Saenz Peña-Villa Ángela"
"TNEA";"LEAT: ET Rincón – ET Resistencia:";"Línea de 500 kV, las estructuras ya están montadas."
"TNEA";"Doble Terna: ET Paso de la Patria – ET Corrientes Este:";"Doble terna en 132.
Kv"
"TNEA";"Doble Terna: ET Ita Ibate – ET Pirayu";"Nueva vía de
abastecimiento en 132kv desde la ET Paso de la Patria o la ET Rincón."
"TNEA";"Doble Terna: ET Saladas – ET Colonia Brugne";"se alimenta desde Colonia Brugne en 33kv, por lo tanto, se
ampliará la capacidad de alimentación con esta doble terna."
"TNEA";"Doble Terna: ET Bella Vista – ET Santa Rosa:";"Segunda línea de 33kV entre ambas estaciones"
"TNEA";"LAT: ET Los Conquistadores – ET La Paz";"Nueva línea
de 132 kV entre las estaciones transformadores de La Paz y Los Conquistadores"
"TNEA";"ET Yapeyú";"Estación Transformadora que funciona en
MT para poder ser alimentada en 132kV, con vínculos en la ET Paso de los Libres 2 y La Cruz.
Contará con un Transformador de 7,5MVA"
"TNEA";"ET Goya Oeste,";"Dos líneas de
132 kV provenientes de la ET Mercedes 132"
"TNEA";"ET Formosa III";"Aumento de la capacidad de transformación."
"Transco";"Desde la intersección de las calles Maipú y El Chingolo de G. Roca hasta la ET GR por Colonia Penal de G. Roca y calle Italia";"Cambio de sección en 1,5 Km de línea 132 KV TERMOROCA – G. ROCA (TRGR) de 150/25 mm² Al/Ac a 240/40 mm²."
"Transco";"650 m. al O. de calle JM de Rosas y 950 m al N de calle Río Limay de ALLEN, próximo a piquete N°46 de línea CP-GR.";"ET completa, cuadro de estación de 1 Ha, 2 campos de
línea de 132 KV, 1 Transformador 132/33/13,2 KV – 30/30/30 con campos de 132 y 13,2 KV equipados, edificio, etc."
"Transco";"Estación Transformadora TERMOROCA.";"Transformador de Rebaje 132/33/13,2 KV en ET TERMOROCA (ET TR)."
"Transco";"Calle San Luis 2423 – Cipolletti.";"LAT doble terna de 132 KV de 1,25 Km (L= 2,5 Km), 240/40
mm2 Al/Ac, ET completa con cuadro de estación de 1 Ha, 2 campos de línea de 132 KV, 1 Transformador 132/33/13,2 KV – 30/30/30 con campos de 132 y 13,2 KV equipados, edificio, paredones circundantes, etc."
"Transco";"Localidad de Ing. Huergo, próximo a LAT GR-VR";"ET completa, cuadro de estación de 1 Ha, 2 campos de
línea de 132 KV, 1 Transformador 132/33/13,2 KV – 15/10/15 con campos de 132 y 13,2 KV equipados, edificio, etc."
"Transco";"Cruce RN N° 151 y RP N° 69, próximo a LAT CC-ME";"ET completa, cuadro de estación de 1 Ha, 2 campos de
línea de 132 KV, 1 Transformador 132/33/13,2 KV – 15/10/15 con campos de 132 y 13,2 KV equipados, edificio, etc."
"Transco";"Ciudad de Catriel, próximo a LAT ME-LD";"ET completa, cuadro de estación de 1 Ha, 2 campos de
línea de 132 KV, 1 Transformador 132/33/13,2 KV – 15/10/15 con campos de 132, 33 y 13,2 KV equipados, barras de 13,2 KV, dos alimentadores de 33 KV, tres alimentadores de 13,2 KV, transformador creador de neutro artificial (TRN), transformador de SSAA, edificio, etc."
"Transco";"ET General Roca.";"Barras de 132 KV y Seccionador longitudinal de barras."
"Transco";"ET Medanito";"de 132 KV y 33 KV, de potencia y protección con vida útil cumplida y en riesgo de colapso."
"Transco";"ET Choele Choel de Transener.";"T5CL – Campo 132 KV"
"Transba";"ET Brandsen";"Nueva ET Brandsen-132/33/13.2 kV (2x 30 MVA), seccionando la LAT Chascomus-Monte"
"Transba";"ET Tandil Industrial";"Nueva ET Tandil Industrial-132/33/13.2 kV (2 x 30 MVA) seccionando la LAT Olavarría-Tandil"
"Transba";"ET Norte";"Nueva ET Norte-132/33/13.2 kV (2 x 30 MVA) LAT DT Norte - Ruta Dos (132 kV) de 13 km"
"Transba";"ET Norte";"LAT DT Vivoratá - Norte (132 kV)de 21 km"
"Transba";"EETT Villa Lía -Baradero";"LAT Villa Lía - Baradero (132 kV) de 50 km"
"Transba";"ET Pergamino Industrial";"Nueva ET Pergamino Industrial 132/33/13.2 kV, (30 MVA), seccionando LAT Pergamino - Rojas"
"Transba";"ET San Pedro Ind.";"Nueva ET San Pedro industrial 132/33/13.2 kV, (2 x30 MVA), vinculado con una LAT (132 kV) a Papel Prensa"
"Transba";"ET C. Sarmiento";"Nueva ET C. Sarmiento 132/33/13.2 kV, (30 MVA) LaT C. Sarmiento - S.A. Areco Dos (132 kV) de 32 km"
"Transba";"ET Luján Industrial";"Nueva ET Lujan Industrial - 132/33/13.2 kV (2 x 30 MVA). LAT Lujan Industrial - Luján II (132 kV) de 6 km LAT Lujan Industrial - Luján (132 kV) de 3 km"
"Transba";"ET Costa Esmeralda";"Nueva ET Costa Esmeralda -132/33/13.2 kV (2 x 30 MVA) LAT Costa Esmeralda - Mar de Ajo (132 kV) de 26.4 km LAT Costa Esmeralda - Pinamar (132 kV) de 20 km"
